group,param,estimate
het_black_female,age,-0.010837000000000001
het_black_female,anx,0.41436000000000006
het_black_female,cd4n_entry,-0.00025699999999999996
het_black_female,h1yy_time,-0.06336
het_black_female,hcv,-0.168987
het_black_female,intercept,205.885045
het_black_female,smoking,0.425062
het_black_female,year,-0.103504
het_black_male,age,-0.012379000000000001
het_black_male,anx,0.94557
het_black_male,cd4n_entry,0.000584
het_black_male,h1yy_time,-0.029330000000000002
het_black_male,hcv,-0.2108
het_black_male,intercept,31.495106
het_black_male,smoking,0.58527
het_black_male,year,-0.017357
het_hisp_female,age,0.007591
het_hisp_female,anx,0.7149840000000001
het_hisp_female,cd4n_entry,0.00011499999999999999
het_hisp_female,h1yy_time,-0.128245
het_hisp_female,hcv,-0.477599
het_hisp_female,intercept,87.23263299999999
het_hisp_female,smoking,-0.316179
het_hisp_female,year,-0.044488
het_hisp_male,age,-0.013193999999999999
het_hisp_male,anx,2.158179
het_hisp_male,cd4n_entry,-0.0009
het_hisp_male,h1yy_time,-0.06435
het_hisp_male,hcv,0.439643
het_hisp_male,intercept,217.27698999999998
het_hisp_male,smoking,0.242065
het_hisp_male,year,-0.10915599999999999
het_white_female,age,0.006453
het_white_female,anx,0.9466610000000001
het_white_female,cd4n_entry,-0.000455
het_white_female,h1yy_time,-0.028988
het_white_female,hcv,-0.8320350000000001
het_white_female,intercept,2.48175
het_white_female,smoking,0.37238499999999997
het_white_female,year,-0.003073
het_white_male,age,-0.013716999999999998
het_white_male,anx,1.091603
het_white_male,cd4n_entry,8.837600000000001e-05
het_white_male,h1yy_time,-0.057120000000000004
het_white_male,hcv,0.022813999999999997
het_white_male,intercept,190.763444
het_white_male,smoking,0.117349
het_white_male,year,-0.09621
idu_black_female,age,-0.027389
idu_black_female,anx,0.15453599999999998
idu_black_female,cd4n_entry,-0.000307
idu_black_female,h1yy_time,-0.08229700000000001
idu_black_female,hcv,-0.279839
idu_black_female,intercept,171.052832
idu_black_female,smoking,-0.060387
idu_black_female,year,-0.085538
idu_black_male,age,-0.021293
idu_black_male,anx,0.22879699999999997
idu_black_male,cd4n_entry,0.00035299999999999996
idu_black_male,h1yy_time,-0.056235
idu_black_male,hcv,0.28417800000000004
idu_black_male,intercept,0.0025050000000000003
idu_black_male,smoking,0.33203699999999997
idu_black_male,year,-0.001266
idu_hisp_female,age,-0.027389
idu_hisp_female,anx,0.15453599999999998
idu_hisp_female,cd4n_entry,-0.000307
idu_hisp_female,h1yy_time,-0.08229700000000001
idu_hisp_female,hcv,-0.279839
idu_hisp_female,intercept,171.052832
idu_hisp_female,smoking,-0.060387
idu_hisp_female,year,-0.085538
idu_hisp_male,age,-0.017398
idu_hisp_male,anx,0.721725
idu_hisp_male,cd4n_entry,-0.001037
idu_hisp_male,h1yy_time,-0.143689
idu_hisp_male,hcv,0.328881
idu_hisp_male,intercept,-1.7594040000000002
idu_hisp_male,smoking,0.49227
idu_hisp_male,year,-9.7149e-05
idu_white_female,age,-0.027389
idu_white_female,anx,0.15453599999999998
idu_white_female,cd4n_entry,-0.000307
idu_white_female,h1yy_time,-0.08229700000000001
idu_white_female,hcv,-0.279839
idu_white_female,intercept,171.052832
idu_white_female,smoking,-0.060387
idu_white_female,year,-0.085538
idu_white_male,age,-0.014394999999999998
idu_white_male,anx,0.170154
idu_white_male,cd4n_entry,0.000152
idu_white_male,h1yy_time,-0.119893
idu_white_male,hcv,0.13578199999999999
idu_white_male,intercept,-39.523123
idu_white_male,smoking,0.052025999999999996
idu_white_male,year,0.018616
msm_black_male,age,-0.0059229999999999994
msm_black_male,anx,1.002448
msm_black_male,cd4n_entry,-1.2285e-05
msm_black_male,h1yy_time,-0.068396
msm_black_male,hcv,0.46165200000000006
msm_black_male,intercept,111.647972
msm_black_male,smoking,0.377767
msm_black_male,year,-0.056968
msm_hisp_male,age,-0.018241
msm_hisp_male,anx,1.1069799999999999
msm_hisp_male,cd4n_entry,0.000197
msm_hisp_male,h1yy_time,-0.038155
msm_hisp_male,hcv,0.268251
msm_hisp_male,intercept,46.358698
msm_hisp_male,smoking,0.11823199999999999
msm_hisp_male,year,-0.024097999999999998
msm_white_male,age,-0.007271
msm_white_male,anx,0.819122
msm_white_male,cd4n_entry,7.1148e-05
msm_white_male,h1yy_time,-0.053
msm_white_male,hcv,0.088851
msm_white_male,intercept,66.202125
msm_white_male,smoking,0.251417
msm_white_male,year,-0.034376
